date,CLV10MNACB1GQSCAEA20Q
2000-01-01,2117678.6
2000-04-01,2137334.0
2000-07-01,2151337.7
2000-10-01,2161906.4
2001-01-01,2185429.7
2001-04-01,2186804.7
2001-07-01,2190737.9
2001-10-01,2190037.4
2002-01-01,2194936.6
2002-04-01,2205568.1
2002-07-01,2214479.8
2002-10-01,2219229.6
2003-01-01,2213293.8
2003-04-01,2214728.3
2003-07-01,2228180.3
2003-10-01,2242994.8
2004-01-01,2254852.0
2004-04-01,2269225.7
2004-07-01,2273428.5
2004-10-01,2283820.7
2005-01-01,2289980.8
2005-04-01,2304555.7
2005-07-01,2320942.7
2005-10-01,2337673.0
2006-01-01,2359680.7
2006-04-01,2386006.5
2006-07-01,2398328.9
2006-10-01,2426494.0
2007-01-01,2444005.9
2007-04-01,2460475.1
2007-07-01,2469215.9
2007-10-01,2481783.6
2008-01-01,2498340.1
2008-04-01,2485946.3
2008-07-01,2471821.1
2008-10-01,2429315.4
2009-01-01,2355299.1
2009-04-01,2355342.3
2009-07-01,2363620.8
2009-10-01,2374070.6
2010-01-01,2383723.8
2010-04-01,2405930.5
2010-07-01,2416337.2
2010-10-01,2430344.4
2011-01-01,2453786.4
2011-04-01,2453574.0
2011-07-01,2453881.3
2011-10-01,2446550.5
2012-01-01,2440911.2
2012-04-01,2431991.7
2012-07-01,2428627.3
2012-10-01,2417972.2
2013-01-01,2410527.4
2013-04-01,2426088.4
2013-07-01,2432921.5
2013-10-01,2437965.5
2014-01-01,2450034.4
2014-04-01,2455366.1
2014-07-01,2467043.0
2014-10-01,2476213.0
2015-01-01,2495938.2
2015-04-01,2505976.4
2015-07-01,2516410.4
2015-10-01,2528325.1
2016-01-01,2541373.5
2016-04-01,2545676.5
2016-07-01,2557862.9
2016-10-01,2578444.8
2017-01-01,2598475.2
2017-04-01,2615903.8
2017-07-01,2635529.2
2017-10-01,2656786.8
2018-01-01,2657503.2
2018-04-01,2671371.1
2018-07-01,2673722.9
2018-10-01,2687749.6
2019-01-01,2707442.7
2019-04-01,2716536.6
2019-07-01,2722361.7
2019-10-01,2719039.7
2020-01-01,2631953.7
2020-04-01,2338578.9
2020-07-01,2608390.7
2020-10-01,2616588.5
2021-01-01,2638641.7
2021-04-01,2695588.8
2021-07-01,2744565.8
2021-10-01,2764794.2
2022-01-01,2784959.8
2022-04-01,2811464.0
2022-07-01,2826455.4
2022-10-01,2824611.0
2023-01-01,2820963.6
2023-04-01,2827014.6
2023-07-01,2830824.1
2023-10-01,2831120.3
2024-01-01,2840811.4
2024-04-01,2846831.6
2024-07-01,2861111.2
2024-10-01,2869579.6
2025-01-01,2885901.5
2025-04-01,2885532.7
2025-07-01,2894547.1
2025-10-01,2900166.1
2026-01-01,2900011.6
2026-04-01,2912785.8
