date,CLVMNACSCAB1GQCH
2000-01-01,130527.4
2000-04-01,130929.1
2000-07-01,131942.2
2000-10-01,133579.6
2001-01-01,133487.4
2001-04-01,134080.2
2001-07-01,134047.5
2001-10-01,133974.8
2002-01-01,134068.8
2002-04-01,134741.9
2002-07-01,134845.7
2002-10-01,133975.5
2003-01-01,133133.8
2003-04-01,132967.9
2003-07-01,134155.8
2003-10-01,135529.1
2004-01-01,136414.8
2004-04-01,137402.6
2004-07-01,137463.8
2004-10-01,137954.9
2005-01-01,139080.7
2005-04-01,140814.0
2005-07-01,142218.0
2005-10-01,143614.0
2006-01-01,145358.1
2006-04-01,146619.1
2006-07-01,147707.2
2006-10-01,149760.8
2007-01-01,150820.5
2007-04-01,152922.3
2007-07-01,154260.3
2007-10-01,155148.0
2008-01-01,156153.9
2008-04-01,157880.2
2008-07-01,158796.7
2008-10-01,155174.8
2009-01-01,152680.6
2009-04-01,153159.5
2009-07-01,154489.8
2009-10-01,155414.7
2010-01-01,157293.9
2010-04-01,158522.8
2010-07-01,159319.4
2010-10-01,160494.4
2011-01-01,160581.7
2011-04-01,161868.0
2011-07-01,161045.1
2011-10-01,161492.6
2012-01-01,162179.0
2012-04-01,162559.0
2012-07-01,163941.6
2012-10-01,164056.0
2013-01-01,164659.9
2013-04-01,165814.3
2013-07-01,166961.6
2013-10-01,167362.0
2014-01-01,168444.0
2014-04-01,169955.5
2014-07-01,170972.7
2014-10-01,171880.1
2015-01-01,171572.2
2015-04-01,171849.3
2015-07-01,173041.5
2015-10-01,174325.8
2016-01-01,175189.4
2016-04-01,176024.7
2016-07-01,176768.9
2016-10-01,176309.1
2017-01-01,176420.9
2017-04-01,177860.3
2017-07-01,179246.7
2017-10-01,181049.4
2018-01-01,183348.6
2018-04-01,185332.1
2018-07-01,184670.7
2018-10-01,185232.4
2019-01-01,185391.8
2019-04-01,186630.0
2019-07-01,187190.3
2019-10-01,187575.5
2020-01-01,185439.8
2020-04-01,173608.3
2020-07-01,184182.6
2020-10-01,185867.2
2021-01-01,187191.1
2021-04-01,192344.8
2021-07-01,196517.9
2021-10-01,198013.3
2022-01-01,198440.3
2022-04-01,200287.4
2022-07-01,201390.3
2022-10-01,201767.8
2023-01-01,202157.1
2023-04-01,201432.0
2023-07-01,202309.5
2023-10-01,203000.5
2024-01-01,203013.0
2024-04-01,204994.5
2024-07-01,205873.8
2024-10-01,206281.3
2025-01-01,207952.0
2025-04-01,208249.9
2025-07-01,207366.5
2025-10-01,207815.6
2026-01-01,209178.7
