date,CP0000CHM086NEST
2006-01-01,91.17
2006-02-01,91.34
2006-03-01,91.27
2006-04-01,92.02
2006-05-01,92.14
2006-06-01,92.11
2006-07-01,91.52
2006-08-01,91.63
2006-09-01,91.45
2006-10-01,91.73
2006-11-01,91.64
2006-12-01,91.69
2007-01-01,91.17
2007-02-01,91.42
2007-03-01,91.52
2007-04-01,92.53
2007-05-01,92.65
2007-06-01,92.75
2007-07-01,92.18
2007-08-01,92.09
2007-09-01,92.19
2007-10-01,92.96
2007-11-01,93.32
2007-12-01,93.56
2008-01-01,93.52
2008-02-01,93.51
2008-03-01,93.76
2008-04-01,94.59
2008-05-01,95.1
2008-06-01,95.39
2008-07-01,95.22
2008-08-01,94.97
2008-09-01,94.79
2008-10-01,95.37
2008-11-01,94.41
2008-12-01,93.89
2009-01-01,93.4
2009-02-01,93.38
2009-03-01,93.11
2009-04-01,94.02
2009-05-01,94.01
2009-06-01,94.19
2009-07-01,93.85
2009-08-01,94.03
2009-09-01,93.77
2009-10-01,94.37
2009-11-01,94.27
2009-12-01,94.0
2010-01-01,94.21
2010-02-01,94.18
2010-03-01,94.41
2010-04-01,95.22
2010-05-01,94.93
2010-06-01,94.63
2010-07-01,94.21
2010-08-01,94.18
2010-09-01,93.99
2010-10-01,94.54
2010-11-01,94.44
2010-12-01,94.44
2011-01-01,94.21
2011-02-01,94.59
2011-03-01,95.31
2011-04-01,95.35
2011-05-01,95.22
2011-06-01,95.15
2011-07-01,94.38
2011-08-01,93.82
2011-09-01,94.28
2011-10-01,94.22
2011-11-01,93.78
2011-12-01,94.03
2012-01-01,93.36
2012-02-01,93.51
2012-03-01,94.29
2012-04-01,94.34
2012-05-01,94.13
2012-06-01,93.93
2012-07-01,93.68
2012-08-01,93.41
2012-09-01,94.04
2012-10-01,94.12
2012-11-01,93.64
2012-12-01,93.79
2013-01-01,93.29
2013-02-01,93.59
2013-03-01,94.02
2013-04-01,93.97
2013-05-01,93.95
2013-06-01,94.09
2013-07-01,94.16
2013-08-01,93.8
2013-09-01,94.24
2013-10-01,94.11
2013-11-01,93.82
2013-12-01,94.01
2014-01-01,93.47
2014-02-01,93.43
2014-03-01,93.93
2014-04-01,94.07
2014-05-01,94.14
2014-06-01,94.02
2014-07-01,94.05
2014-08-01,93.81
2014-09-01,94.24
2014-10-01,94.18
2014-11-01,93.91
2014-12-01,93.94
2015-01-01,93.41
2015-02-01,93.07
2015-03-01,93.51
2015-04-01,93.25
2015-05-01,93.33
2015-06-01,93.44
2015-07-01,93.27
2015-08-01,92.77
2015-09-01,93.09
2015-10-01,93.13
2015-11-01,92.8
2015-12-01,92.69
2016-01-01,92.05
2016-02-01,92.2
2016-03-01,92.55
2016-04-01,92.76
2016-05-01,92.88
2016-06-01,92.9
2016-07-01,92.83
2016-08-01,92.8
2016-09-01,92.8
2016-10-01,92.9
2016-11-01,92.62
2016-12-01,92.54
2017-01-01,92.36
2017-02-01,92.87
2017-03-01,93.01
2017-04-01,93.43
2017-05-01,93.27
2017-06-01,93.3
2017-07-01,93.37
2017-08-01,93.31
2017-09-01,93.51
2017-10-01,93.61
2017-11-01,93.35
2017-12-01,93.56
2018-01-01,93.1
2018-02-01,93.37
2018-03-01,93.67
2018-04-01,93.85
2018-05-01,94.22
2018-06-01,94.18
2018-07-01,94.52
2018-08-01,94.5
2018-09-01,94.51
2018-10-01,94.69
2018-11-01,94.3
2018-12-01,94.3
2019-01-01,93.74
2019-02-01,94.01
2019-03-01,94.29
2019-04-01,94.87
2019-05-01,94.67
2019-06-01,94.84
2019-07-01,94.89
2019-08-01,94.96
2019-09-01,94.6
2019-10-01,94.42
2019-11-01,94.0
2019-12-01,94.24
2020-01-01,93.89
2020-02-01,93.8
2020-03-01,93.87
2020-04-01,93.96
2020-05-01,93.75
2020-06-01,93.64
2020-07-01,93.73
2020-08-01,93.65
2020-09-01,93.55
2020-10-01,93.57
2020-11-01,93.23
2020-12-01,93.33
2021-01-01,93.37
2021-02-01,93.44
2021-03-01,93.64
2021-04-01,93.88
2021-05-01,94.06
2021-06-01,94.08
2021-07-01,94.19
2021-08-01,94.39
2021-09-01,94.35
2021-10-01,94.74
2021-11-01,94.61
2021-12-01,94.57
2022-01-01,94.72
2022-02-01,95.25
2022-03-01,95.69
2022-04-01,96.08
2022-05-01,96.61
2022-06-01,97.12
2022-07-01,97.26
2022-08-01,97.54
2022-09-01,97.37
2022-10-01,97.45
2022-11-01,97.33
2022-12-01,97.15
2023-01-01,97.79
2023-02-01,98.3
2023-03-01,98.3
2023-04-01,98.55
2023-05-01,98.76
2023-06-01,98.83
2023-07-01,99.27
2023-08-01,99.43
2023-09-01,99.26
2023-10-01,99.41
2023-11-01,98.89
2023-12-01,99.14
2024-01-01,99.27
2024-02-01,99.48
2024-03-01,99.42
2024-04-01,99.95
2024-05-01,100.21
2024-06-01,100.07
2024-07-01,100.49
2024-08-01,100.47
2024-09-01,100.13
2024-10-01,100.12
2024-11-01,99.59
2024-12-01,99.54
2025-01-01,99.48
2025-02-01,99.62
2025-03-01,99.54
2025-04-01,100.23
2025-05-01,100.04
2025-06-01,100.28
2025-07-01,100.62
2025-08-01,100.51
2025-09-01,100.18
2025-10-01,100.18
2025-11-01,99.58
2025-12-01,99.74
2026-01-01,99.65
2026-02-01,100.11
2026-03-01,100.17
2026-04-01,100.78
2026-05-01,100.92
2026-06-01,101.01
