date,CP0000EZCCM086NEST
1997-01-01,56.25
1997-02-01,56.38
1997-03-01,56.42
1997-04-01,56.39
1997-05-01,56.55
1997-06-01,56.56
1997-07-01,56.62
1997-08-01,56.72
1997-09-01,56.75
1997-10-01,56.77
1997-11-01,56.84
1997-12-01,56.9
1998-01-01,56.86
1998-02-01,57.01
1998-03-01,57.06
1998-04-01,57.17
1998-05-01,57.29
1998-06-01,57.32
1998-07-01,57.34
1998-08-01,57.36
1998-09-01,57.32
1998-10-01,57.3
1998-11-01,57.3
1998-12-01,57.33
1999-01-01,57.29
1999-02-01,57.43
1999-03-01,57.59
1999-04-01,57.78
1999-05-01,57.83
1999-06-01,57.82
1999-07-01,57.92
1999-08-01,57.99
1999-09-01,58.02
1999-10-01,58.05
1999-11-01,58.13
1999-12-01,58.32
2000-01-01,58.35
2000-02-01,58.54
2000-03-01,58.72
2000-04-01,58.77
2000-05-01,58.84
2000-06-01,59.06
2000-07-01,59.14
2000-08-01,59.19
2000-09-01,59.42
2000-10-01,59.44
2000-11-01,59.55
2000-12-01,59.78
2001-01-01,59.52
2001-02-01,59.69
2001-03-01,60.01
2001-04-01,60.37
2001-05-01,60.66
2001-06-01,60.75
2001-07-01,60.61
2001-08-01,60.56
2001-09-01,60.72
2001-10-01,60.77
2001-11-01,60.73
2001-12-01,61.0
2002-01-01,61.08
2002-02-01,61.17
2002-03-01,61.52
2002-04-01,61.8
2002-05-01,61.91
2002-06-01,61.88
2002-07-01,61.82
2002-08-01,61.86
2002-09-01,62.01
2002-10-01,62.16
2002-11-01,62.11
2002-12-01,62.41
2003-01-01,62.37
2003-02-01,62.62
2003-03-01,62.98
2003-04-01,63.07
2003-05-01,63.03
2003-06-01,63.11
2003-07-01,63.01
2003-08-01,63.11
2003-09-01,63.33
2003-10-01,63.42
2003-11-01,63.45
2003-12-01,63.65
2004-01-01,63.49
2004-02-01,63.64
2004-03-01,64.05
2004-04-01,64.37
2004-05-01,64.57
2004-06-01,64.61
2004-07-01,64.47
2004-08-01,64.6
2004-09-01,64.67
2004-10-01,64.92
2004-11-01,64.88
2004-12-01,65.13
2005-01-01,64.71
2005-02-01,64.95
2005-03-01,65.43
2005-04-01,65.71
2005-05-01,65.85
2005-06-01,65.92
2005-07-01,65.85
2005-08-01,66.01
2005-09-01,66.35
2005-10-01,66.51
2005-11-01,66.37
2005-12-01,66.59
2006-01-01,66.29
2006-02-01,66.48
2006-03-01,66.86
2006-04-01,67.31
2006-05-01,67.49
2006-06-01,67.54
2006-07-01,67.46
2006-08-01,67.52
2006-09-01,67.52
2006-10-01,67.57
2006-11-01,67.6
2006-12-01,67.86
2007-01-01,67.51
2007-02-01,67.71
2007-03-01,68.16
2007-04-01,68.59
2007-05-01,68.75
2007-06-01,68.82
2007-07-01,68.65
2007-08-01,68.7
2007-09-01,68.95
2007-10-01,69.29
2007-11-01,69.66
2007-12-01,69.94
2008-01-01,69.67
2008-02-01,69.92
2008-03-01,70.6
2008-04-01,70.83
2008-05-01,71.27
2008-06-01,71.54
2008-07-01,71.44
2008-08-01,71.33
2008-09-01,71.47
2008-10-01,71.48
2008-11-01,71.14
2008-12-01,71.05
2009-01-01,70.45
2009-02-01,70.74
2009-03-01,71.01
2009-04-01,71.26
2009-05-01,71.3
2009-06-01,71.44
2009-07-01,70.97
2009-08-01,71.21
2009-09-01,71.23
2009-10-01,71.4
2009-11-01,71.48
2009-12-01,71.71
2010-01-01,71.12
2010-02-01,71.34
2010-03-01,72.13
2010-04-01,72.43
2010-05-01,72.51
2010-06-01,72.51
2010-07-01,72.2
2010-08-01,72.34
2010-09-01,72.56
2010-10-01,72.78
2010-11-01,72.85
2010-12-01,73.29
2011-01-01,72.76
2011-02-01,73.07
2011-03-01,74.06
2011-04-01,74.47
2011-05-01,74.48
2011-06-01,74.47
2011-07-01,74.04
2011-08-01,74.18
2011-09-01,74.73
2011-10-01,74.99
2011-11-01,75.05
2011-12-01,75.31
2012-01-01,74.69
2012-02-01,75.07
2012-03-01,76.04
2012-04-01,76.39
2012-05-01,76.29
2012-06-01,76.23
2012-07-01,75.83
2012-08-01,76.12
2012-09-01,76.67
2012-10-01,76.86
2012-11-01,76.7
2012-12-01,76.98
2013-01-01,76.18
2013-02-01,76.46
2013-03-01,77.36
2013-04-01,77.29
2013-05-01,77.37
2013-06-01,77.46
2013-07-01,77.04
2013-08-01,77.14
2013-09-01,77.51
2013-10-01,77.42
2013-11-01,77.36
2013-12-01,77.63
2014-01-01,76.76
2014-02-01,77.0
2014-03-01,77.72
2014-04-01,77.84
2014-05-01,77.76
2014-06-01,77.84
2014-07-01,77.33
2014-08-01,77.42
2014-09-01,77.76
2014-10-01,77.72
2014-11-01,77.58
2014-12-01,77.5
2015-01-01,76.3
2015-02-01,76.78
2015-03-01,77.67
2015-04-01,78.0
2015-05-01,78.22
2015-06-01,78.23
2015-07-01,77.76
2015-08-01,77.76
2015-09-01,77.92
2015-10-01,78.02
2015-11-01,77.68
2015-12-01,77.69
2016-01-01,76.55
2016-02-01,76.68
2016-03-01,77.64
2016-04-01,77.8
2016-05-01,78.13
2016-06-01,78.27
2016-07-01,77.89
2016-08-01,77.93
2016-09-01,78.23
2016-10-01,78.41
2016-11-01,78.13
2016-12-01,78.55
2017-01-01,77.87
2017-02-01,78.18
2017-03-01,78.83
2017-04-01,79.28
2017-05-01,79.21
2017-06-01,79.28
2017-07-01,78.93
2017-08-01,79.13
2017-09-01,79.45
2017-10-01,79.49
2017-11-01,79.33
2017-12-01,79.6
2018-01-01,78.88
2018-02-01,79.05
2018-03-01,79.93
2018-04-01,80.25
2018-05-01,80.76
2018-06-01,80.85
2018-07-01,80.66
2018-08-01,80.78
2018-09-01,81.1
2018-10-01,81.3
2018-11-01,80.85
2018-12-01,80.82
2019-01-01,79.98
2019-02-01,80.23
2019-03-01,81.05
2019-04-01,81.63
2019-05-01,81.74
2019-06-01,81.87
2019-07-01,81.49
2019-08-01,81.6
2019-09-01,81.78
2019-10-01,81.89
2019-11-01,81.63
2019-12-01,81.89
2020-01-01,81.07
2020-02-01,81.21
2020-03-01,81.65
2020-04-01,81.89
2020-05-01,81.81
