date,LRUNTTTTCHQ156S
2000-04-01,2.664994
2001-04-01,2.491579
2002-04-01,2.923533
2003-04-01,4.115754
2004-04-01,4.316408
2005-04-01,4.436376
2006-04-01,4.000095
2007-04-01,3.651324
2008-04-01,3.350627
2009-04-01,4.115837
2010-01-01,5.00906
2010-04-01,4.83235
2010-07-01,4.844463
2010-10-01,4.527663
2011-01-01,4.450202
2011-04-01,4.178095
2011-07-01,4.487845
2011-10-01,4.494826
2012-01-01,4.367247
2012-04-01,4.332419
2012-07-01,4.5205
2012-10-01,4.718681
2013-01-01,4.828128
2013-04-01,4.762973
2013-07-01,4.709958
2013-10-01,4.689799
2014-01-01,4.967668
2014-04-01,4.875931
2014-07-01,4.877376
2014-10-01,4.590387
2015-01-01,4.523989
2015-04-01,4.644621
2015-07-01,4.943326
2015-10-01,5.089401
2016-01-01,5.016579
2016-04-01,4.920707
2016-07-01,4.926579
2016-10-01,4.810473
2017-01-01,4.927507
2017-04-01,4.71237
2017-07-01,4.817536
2017-10-01,4.732407
2018-01-01,4.853189
2018-04-01,4.913155
2018-07-01,4.262307
2018-10-01,4.823188
2019-01-01,4.618884
2019-04-01,4.390327
2019-07-01,4.346652
2019-10-01,4.221229
2020-01-01,4.271846
2020-04-01,4.694488
2020-07-01,4.956066
2020-10-01,5.342495
2021-01-01,5.499027
2021-04-01,5.220335
2021-07-01,4.838732
2021-10-01,4.495211
2022-01-01,4.327488
2022-04-01,4.145785
2022-07-01,3.967472
2022-10-01,4.047758
2023-01-01,4.001104
2023-04-01,3.959004
2023-07-01,4.093423
2023-10-01,4.118127
2024-01-01,4.120855
2024-04-01,4.218553
2024-07-01,4.534583
2024-10-01,4.489287
2025-01-01,4.595498
2025-04-01,4.759962
2025-07-01,4.930738
2025-10-01,5.072123
2026-01-01,5.074613
