date,M2REAL
1995-01-01,2320.4
1995-02-01,2312.3
1995-03-01,2308.1
1995-04-01,2304.5
1995-05-01,2317.6
1995-06-01,2329.0
1995-07-01,2337.8
1995-08-01,2347.2
1995-09-01,2353.3
1995-10-01,2354.5
1995-11-01,2355.5
1995-12-01,2358.5
1996-01-01,2357.7
1996-02-01,2361.8
1996-03-01,2370.0
1996-04-01,2368.0
1996-05-01,2372.6
1996-06-01,2376.1
1996-07-01,2380.6
1996-08-01,2381.7
1996-09-01,2380.6
1996-10-01,2385.2
1996-11-01,2391.6
1996-12-01,2400.2
1997-01-01,2405.3
1997-02-01,2407.6
1997-03-01,2415.2
1997-04-01,2423.9
1997-05-01,2433.1
1997-06-01,2438.9
1997-07-01,2446.9
1997-08-01,2461.3
1997-09-01,2465.1
1997-10-01,2472.3
1997-11-01,2483.0
1997-12-01,2492.6
1998-01-01,2503.2
1998-02-01,2523.0
1998-03-01,2538.5
1998-04-01,2551.7
1998-05-01,2562.1
1998-06-01,2571.0
1998-07-01,2576.8
1998-08-01,2588.3
1998-09-01,2610.6
1998-10-01,2628.6
1998-11-01,2648.9
1998-12-01,2661.5
1999-01-01,2672.6
1999-02-01,2685.9
1999-03-01,2688.2
1999-04-01,2688.3
1999-05-01,2703.6
1999-06-01,2716.9
1999-07-01,2722.0
1999-08-01,2725.1
1999-09-01,2723.2
1999-10-01,2732.2
1999-11-01,2738.7
1999-12-01,2748.3
2000-01-01,2756.1
2000-02-01,2752.2
2000-03-01,2753.9
2000-04-01,2789.0
2000-05-01,2778.9
2000-06-01,2773.4
2000-07-01,2775.6
2000-08-01,2791.2
2000-09-01,2797.2
2000-10-01,2801.3
2000-11-01,2802.9
2000-12-01,2822.1
2001-01-01,2834.2
2001-02-01,2849.4
2001-03-01,2880.3
2001-04-01,2912.6
2001-05-01,2898.5
2001-06-01,2916.3
2001-07-01,2938.0
2001-08-01,2956.3
2001-09-01,3007.2
2001-10-01,3009.0
2001-11-01,3035.2
2001-12-01,3066.6
2002-01-01,3072.4
2002-02-01,3083.4
2002-03-01,3081.1
2002-04-01,3068.2
2002-05-01,3080.8
2002-06-01,3093.2
2002-07-01,3109.8
2002-08-01,3123.8
2002-09-01,3132.1
2002-10-01,3149.7
2002-11-01,3172.5
2002-12-01,3178.8
2003-01-01,3182.4
2003-02-01,3184.5
2003-03-01,3189.9
2003-04-01,3223.2
2003-05-01,3262.4
2003-06-01,3279.0
2003-07-01,3293.6
2003-08-01,3310.0
2003-09-01,3284.7
2003-10-01,3283.0
2003-11-01,3284.1
2003-12-01,3274.1
2004-01-01,3264.3
2004-02-01,3278.4
2004-03-01,3290.4
2004-04-01,3307.6
2004-05-01,3335.4
2004-06-01,3324.1
2004-07-01,3327.5
2004-08-01,3339.2
2004-09-01,3346.8
2004-10-01,3343.8
2004-11-01,3341.8
2004-12-01,3351.2
2005-01-01,3355.9
2005-02-01,3346.0
2005-03-01,3338.5
2005-04-01,3335.8
2005-05-01,3347.4
2005-06-01,3362.5
2005-07-01,3358.2
2005-08-01,3353.7
2005-09-01,3325.1
2005-10-01,3337.0
2005-11-01,3362.2
2005-12-01,3375.8
2006-01-01,3376.0
2006-02-01,3386.7
2006-03-01,3388.5
2006-04-01,3391.3
2006-05-01,3385.8
2006-06-01,3396.4
2006-07-01,3398.8
2006-08-01,3398.6
2006-09-01,3428.4
